"metrics","mean","sd","type","frag","k"
"AUC",0.999884,4.00612505443565e-05,"{1,k-1}-mer","10.000 bp","2"
"AUC",0.999912812749004,2.70316138528414e-05,"{2,k-2}-mer","10.000 bp","2"
"AUC",0.999605896414343,0.00011455163651097,"{3,k-3}-mer","10.000 bp","2"
"AUC",0.978636688306535,0.00799820537360946,"{0,k}-mer","10.000 bp","2"
"AUC",0.986760334661355,0.000931988656014027,"{1,k-1}-mer","1.000 bp","2"
"AUC",0.981904573705179,0.000980784737294329,"{2,k-2}-mer","1.000 bp","2"
"AUC",0.966500780876494,0.00146320505032117,"{3,k-3}-mer","1.000 bp","2"
"AUC",0.9000635108966524,0.00864415019323888,"{0,k}-mer","1.000 bp","2"
"AUC",0.911117752988048,0.00298002993456145,"{1,k-1}-mer","300 bp","2"
"AUC",0.885563442231076,0.00337133123334331,"{2,k-2}-mer","300 bp","2"
"AUC",0.840914948207171,0.00339851474233463,"{3,k-3}-mer","300 bp","2"
"AUC",0.858509309376042,0.00839595821651217,"{0,k}-mer","300 bp","2"
"AUC",0.999009995059476,0.000207795402534613,"{1,k-1}-mer","3.000 bp","2"
"AUC",0.998428077376202,0.000274084557677035,"{2,k-2}-mer","3.000 bp","2"
"AUC",0.997561078807687,0.000390054969841842,"{3,k-3}-mer","3.000 bp","2"
"AUC",0.9500686422324032,0.00790851443486307,"{0,k}-mer","3.000 bp","2"
"AUC",0.982269428429332,0.00897652858019467,"{0,k}-mer","5.000 bp","2"
"AUC",0.9902269428429332,0.00897652858019467,"{3,k-3}-mer","5.000 bp","2"
"AUC",0.992269428429332,0.00897652858019467,"{2,k-2}-mer","5.000 bp","2"
"AUC",0.992269428429332,0.00897652858019467,"{1,k-1}-mer","5.000 bp","2"

