"db","mn","algorithm","homogeneity","commpleteness","vmeasure","adjrand","adjmutual","silhouette"
"low","{3,1}-mer","AffinityPropagation",0.104180692560432,0.0752052491169596,0.0873528311518977,0.000250767607179701,0.00587872768536096,0.101405298673719
"low","{3,1}-mer","BisectingKMeans",0.0542117252437849,0.0466894404020563,0.0501701858181986,0.0012702188462206,0.000107568985101297,0.104143236541025
"low","{3,1}-mer","GaussianMixture",0.0260682871697553,0.0322133363472684,0.0288168534753059,-0.0020855728135046,0.000655590763382642,0.126985323764803
"low","{3,1}-mer","KMeans",0.063936973164113,0.0528285707244123,0.0578543771770522,0.00111070526617312,0.00432210411667151,0.148060440398539
"low","{3,1}-mer","MiniBatchKMeans",0.0641050230500492,0.0537251219159396,0.0584578790051073,0.00315648297489745,0.00489115821119671,0.0799124588381484
"low","{3,1}-mer","Spectral",0.0626314790530275,0.0509268765006309,0.0561759737226598,-1.25118115721912e-05,0.00231777715102054,0.0939663987364962
"low","{3,1}-mer","agglomerative.clust",0.0609919714971273,0.0513293719423107,0.0557450524469354,0.00175869161620796,0.00164871587994632,0.123841858929979
"mockup","{3,1}-mer","AffinityPropagation",0.442669882071946,0.319551520916264,0.371167310509389,0.117136761656678,0.315029975780829,0.101405298673719
"mockup","{3,1}-mer","BisectingKMeans",0.303897333760329,0.272404498026479,0.287279477505694,0.100170582820118,0.250765779404029,0.0825177333840048
"mockup","{3,1}-mer","GaussianMixture",0.290662172622809,0.337406584774282,0.312274554863446,0.159493949310289,0.293668804640029,0.182243995890234
"mockup","{3,1}-mer","KMeans",0.383836702182936,0.321512575129815,0.349920508567983,0.144463964679089,0.313500426563563,0.099376636450037
"mockup","{3,1}-mer","MiniBatchKMeans",0.382459053442164,0.32088283381083,0.34896335045462,0.150840843749937,0.311275933119167,0.0888057776936436
"mockup","{3,1}-mer","Spectral",0.403536980149014,0.329351802623437,0.362686562867646,0.180050508587975,0.325713035061876,0.103097451004933
"mockup","{3,1}-mer","agglomerative.clust",0.402062055831161,0.338365727505952,0.367474109117565,0.17442057638353,0.331236720508502,0.123841858929979
"low","{2,2}-mer","AffinityPropagation",0.11366169419791,0.0773758749058523,0.0920727066733967,-0.000310664562861734,0.00497532427760681,0.128775317089902
"low","{2,2}-mer","BisectingKMeans",0.0567745678304138,0.0471693833322191,0.051528180785119,0.00151316429347901,8.3626992219278e-05,0.103551926551676
"low","{2,2}-mer","GaussianMixture",0.030249325771959,0.0336405924648118,0.0318549551701926,0.0024691049533506,0.00498142572186225,0.187066163014703
"low","{2,2}-mer","KMeans",0.0628054494102399,0.0532156604787108,0.0576142302935592,-0.000896440443752398,0.00427093175819087,0.173703407699149
"low","{2,2}-mer","MiniBatchKMeans",0.0636631890632202,0.0536473534097552,0.0582277011233398,0.00222926045103303,0.00272856559906004,0.1618666995961
"low","{2,2}-mer","Spectral",0.0743238069114389,0.0591758526847679,0.0658904249204154,0.000805355624953922,0.0111490943253144,0.0960024801050783
