"db","mn","algorithm","homogeneity","commpleteness","vmeasure","adjrand","adjmutual","silhouette"
"low","{3,1}-mer","AffinityPropagation",0.122348363071167,0.0813238612503012,0.0977044497427065,5.29359581185485e-05,-0.000667246509125846,-0.128703272878305
"low","{3,1}-mer","BisectingKMeans",0.0551579059258202,0.046304543502949,0.0503449634589547,-0.000476606994084852,5.80806774243781e-05,-0.0546914428436507
"low","{3,1}-mer","GaussianMixture",0.0168972157168877,0.0239928517233253,0.0198293823714083,0.000642586783389892,-0.000747596209712713,0.0384594897473294
"low","{3,1}-mer","KMeans",0.049818675931189,0.0461415309044564,0.0479096502789982,0.000310745770961312,0.00535352174521711,-0.0669845370148813
"low","{3,1}-mer","MiniBatchKMeans",0.0678618200917863,0.0510861021832233,0.0582909866644534,-0.000543413816206441,0.00266126598408469,-0.159475093726352
"low","{3,1}-mer","Spectral",0.0580066656383043,0.0461428156033317,0.0513990246404101,-0.000780355065173527,-0.00186422289002132,-0.0893179651050165
"low","{3,1}-mer","agglomerative.clust",0.0595325431967037,0.0461653861528912,0.0520037215913546,0.000127596643138362,-0.00241117512210412,-0.128267021618416
"sharon","{3,1}-mer","AffinityPropagation",0.293320358607779,0.203269427115802,0.24010419389236,0.0715656426305945,0.152539752347018,-0.180855150003722
"sharon","{3,1}-mer","BisectingKMeans",0.217859639059549,0.191182317731718,0.203636979561544,0.116253762696644,0.162981449872324,-0.0848090145321179
"sharon","{3,1}-mer","GaussianMixture",0.18862599332444,0.246183127570824,0.213588275603196,0.112779651480748,0.194985788946031,-0.0411002664376037
"sharon","{3,1}-mer","KMeans",0.262654394906278,0.274568611600691,0.268335051365029,0.171530915597739,0.237304007496096,-0.123797440816242
"sharon","{3,1}-mer","MiniBatchKMeans",0.305964935447788,0.244582732113269,0.271850785679977,0.170052089609084,0.231789800704024,-0.208342859769468
"sharon","{3,1}-mer","Spectral",0.285014252537208,0.219111759083723,0.24774976616958,0.122660699566803,0.20447140866131,-0.126724219183447
"sharon","{3,1}-mer","agglomerative.clust",0.293599998223284,0.231870790161874,0.259107227350798,0.151112729145833,0.217242111462902,-0.153490120747721
"low","{2,2}-mer","AffinityPropagation",0.122348363071167,0.0813238612503012,0.0977044497427065,5.29359581185485e-05,-0.000667246509125846,-0.128703272878305
"low","{2,2}-mer","BisectingKMeans",0.0551579059258202,0.046304543502949,0.0503449634589547,-0.000476606994084852,5.80806774243781e-05,-0.0546914428436507
"low","{2,2}-mer","GaussianMixture",0.0213436110673188,0.0262663054663743,0.0235504638052847,-0.00162831648577601,-0.00187348637562714,0.0373169773565689
"low","{2,2}-mer","KMeans",0.0462560434933646,0.0411434297680117,0.043550200151066,-0.000377202954229171,-0.00194190974933371,-0.042546620834309
"low","{2,2}-mer","MiniBatchKMeans",0.0605821482220888,0.0460875469753617,0.052350062440613,-0.000591633807196258,-0.00284537268738862,-0.149337179822023
"low","{2,2}-mer","Spectral",0.0606803031522332,0.0481880520363276,0.053717457213631,0.0004954334270424,-9.88648717990176e-05,-0.0758485678531359
"low","{2,2}-mer","agglomerative.clust",0.0595325431967037,0.0461653861528912,0.0520037215913546,0.000127596643138362,-0.00241117512210412,-0.128267021618416
"sharon","{2,2}-mer","AffinityPropagation",0.332013415257714,0.218073422037185,0.263241135778989,0.0750109062687761,0.183517881008133,-0.128703272878305
