,db,mn,algorithm,homogeneity,commpleteness,vmeasure,adjrand,adjmutual,silhouette
0,mockup,"{1,3}-mer",AffinityPropagation,0.7817178344146098,0.525685922236609,0.6286322165168392,0.20797342446526368,0.5918892362738338,0.15896677626290434
0,mockup,"{1,3}-mer",GaussianMixture,0.5668887664572453,0.6329966413182698,0.5981215920172736,0.35409072425772165,0.5869378494627536,0.20958741972774814
0,mockup,"{1,3}-mer",Spectral,0.6746530048878683,0.5401759931387454,0.5999714487081407,0.283971812276015,0.576635790782577,0.10892712234322137
0,mockup,"{1,3}-mer",BisectingKMeans,0.6029624250595345,0.49503734780641545,0.5436957768202338,0.21085436375171288,0.5181847976785877,0.10654566264817145
0,mockup,"{1,3}-mer",MiniBatchKMeans,0.6497345392589848,0.5283641911367923,0.5827974437658227,0.222342969652233,0.5582149361995041,0.15822410526533312
0,mockup,"{1,3}-mer",KMeans,0.6261235967193572,0.5537096585862431,0.5876943736129323,0.26279624365639065,0.5645729271909796,0.1565645447767188
0,mockup,"{1,3}-mer",agglomerative.clust,0.7160109554064338,0.5948295567626879,0.6498189143343909,0.3280419028818121,0.6295141362880159,0.20461826634406274
0,mockup,"{2,2}-mer",AffinityPropagation,0.7902855207780756,0.5379915725095277,0.6401780956751758,0.21354589551099296,0.6056604132288932,0.12877531708990198
0,mockup,"{2,2}-mer",GaussianMixture,0.5427711883618298,0.6666042608658636,0.5983478283245752,0.3614437144210311,0.5873651813330824,0.18566206260803433
0,mockup,"{2,2}-mer",Spectral,0.6895339188929697,0.5540074690722595,0.6143855684135092,0.316746243402517,0.5918233197340466,0.09326412415991621
0,mockup,"{2,2}-mer",BisectingKMeans,0.5822608735950702,0.4754150750265481,0.5234412246321278,0.1852939113792993,0.49714925575834623,0.09406386549821723
0,mockup,"{2,2}-mer",MiniBatchKMeans,0.7041326980666427,0.5828046002378726,0.63774944770315,0.27654972527113647,0.6168284271042664,0.1590948677455264
0,mockup,"{2,2}-mer",KMeans,0.669219303489512,0.560997609814603,0.6103483469286389,0.25014382033941784,0.5886492450351082,0.1678883375073421
0,mockup,"{2,2}-mer",agglomerative.clust,0.7324228346928745,0.6278657328354674,0.6761259497835054,0.3386872479203507,0.6576727469621192,0.19533614319875253
0,mockup,"{3,1}-mer",AffinityPropagation,0.7811590715834598,0.563897792715568,0.6549817898668802,0.2340227557061759,0.624181223876297,0.10140529867371925
0,mockup,"{3,1}-mer",GaussianMixture,0.5222954982726162,0.6274803256265682,0.5700766053994335,0.2955608470570935,0.5587860300624389,0.18494298448472135
0,mockup,"{3,1}-mer",Spectral,0.7259906403304092,0.5873458727797238,0.6493501125084722,0.32243616701277933,0.6289810135007986,0.12181041411222873
0,mockup,"{3,1}-mer",BisectingKMeans,0.5535829422768739,0.49811955565090127,0.5243887691931903,0.1990709467940152,0.5014239898229568,0.06089223022698466
0,mockup,"{3,1}-mer",MiniBatchKMeans,0.7065034732892431,0.5718949202521284,0.6321124143395251,0.258426091867693,0.6103222567358502,0.13220118515925616
0,mockup,"{3,1}-mer",KMeans,0.6835798208328704,0.6446381530001238,0.6635381267401287,0.34032390875621277,0.6450943531391581,0.16686504290868984
0,mockup,"{3,1}-mer",agglomerative.clust,0.7431321401651945,0.6254020830695926,0.6792031657881938,0.3470824611508523,0.6608247251370569,0.12384185892997863
0,mockup,"{0,4}-mer",AffinityPropagation,0.936160376282656,0.31277038786203026,0.46888627039548175,-0.0005002965109692489,0.009242395521059717,0.10491930862716578
0,mockup,"{0,4}-mer",GaussianMixture,0.0868585804528449,0.2828676852910897,0.13290635736105635,-0.03734245532657332,0.11454244008455265,0.7747461286747184
0,mockup,"{0,4}-mer",Spectral,0.11957043059203258,0.2269662191078166,0.1566267150794761,-0.0405148745432583,0.11136987092457933,0.7930015606476251
0,mockup,"{0,4}-mer",BisectingKMeans,0.10477902688106741,0.2446737482875921,0.14672470256699996,-0.020453747549405796,0.11678469117603367,0.7057766665938268
0,mockup,"{0,4}-mer",MiniBatchKMeans,0.11825750852504653,0.2196366594250657,0.1537385760869793,-0.04054415729343363,0.1120409840523658,0.8123729047907953
0,mockup,"{0,4}-mer",KMeans,0.10437818899216782,0.2411785169291376,0.14569983096559072,-0.03395382108072124,0.11151097614470758,0.6281625387756836
0,mockup,"{0,4}-mer",agglomerative.clust,0.11770303537050786,0.22770795301497657,0.1551885617371057,-0.03929554209656796,0.11055911322539509,0.7832094432657352
