Supplementary Table 1: Detailed Information on Training Set Sequences,,,,,,,,
ID,Organism,Molecule Type,Topology,Description,Genome Type,Length,die,Acronym
MT291826.1,Severe acute respiratory syndrome coronavirus 2,RNA,linear,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Wuhan_IME-WH01/2019, complete genome",ssRNA(+),29807,no,
JQ403609.2,Maize dwarf mosaic virus,RNA,linear,"Maize dwarf mosaic virus isolate OH-2, complete genome",ssRNA(+),9402,no,
MK204479.1,Zucchini shoestring virus,RNA,linear,"Zucchini shoestring virus isolate F7-Art, complete genome",ssRNA(+),10305,no,
NC_032730.1,Lucheng Rn rat coronavirus,RNA,linear,"Lucheng Rn rat coronavirus isolate Lucheng-19, complete genome",ssRNA(+),28763,no,
MK425024.2,Classical swine fever virus,RNA,linear,"Classical swine fever virus isolate CN-JLwb04, complete genome",ssRNA(+),12295,no,
MN262644.1,Avian coronavirus,RNA,linear,"Avian coronavirus strain CV10, complete genome",ssRNA(+),27523,no,
KU973692.1,Severe acute respiratory syndrome-related coronavirus,RNA,linear,"UNVERIFIED: SARS-related coronavirus isolate F46, complete genome",ssRNA(+),29722,no,
MK956940.2,Areca palm velarivirus 1,RNA,linear,"Areca palm velarivirus 1 isolate WNY, complete genome",ssRNA(+),17546,no,
MH025762.1,Porcine deltacoronavirus,RNA,linear,"Porcine deltacoronavirus strain CH/JXJGS01/P7, complete genome",ssRNA(+),25438,no,
LC528383.1,Pepper vein yellows virus,RNA,linear,"Pepper vein yellows virus Indonesia-Aceh 2-2017 genomic RNA, complete genome",ssRNA(+),6023,no,
MN228487.1,Grapevine rupestris stem pitting-associated virus,RNA,linear,"Grapevine rupestris stem pitting-associated virus isolate Regent-BE, complete genome",ssRNA(+),8707,no,
MN228488.1,Grapevine Pinot gris virus,RNA,linear,"Grapevine Pinot gris virus isolate Regent-BE, complete genome",ssRNA(+),7223,no,
MK780824.1,Porcine reproductive and respiratory syndrome virus,RNA,linear,"Porcine reproductive and respiratory syndrome virus strain SDWH27-1710, complete genome",ssRNA(+),15445,no,
MN179491.1,Cereal yellow dwarf virus RPV,RNA,linear,"Cereal yellow dwarf virus RPV, complete genome",ssRNA(+),5723,no,
MN337880.1,Canine kobuvirus,RNA,linear,"Canine kobuvirus strain S272/16, complete genome",ssRNA(+),8312,no,
MN204505.1,Equine arteritis virus,RNA,linear,"Equine arteritis virus strain EAVhucPL3/12/2012, complete genome",ssRNA(+),12682,no,
MN598561.1,Zucchini yellow mosaic virus,RNA,linear,"Zucchini yellow mosaic virus isolate Cvn-1, complete genome",ssRNA(+),9571,no,
KU707475.2,Sweet potato chlorotic fleck virus,RNA,linear,"Sweet potato chlorotic fleck virus isolate AusCan, complete genome",ssRNA(+),9157,no,
MN164467.1,Duck hepatitis A virus 3,RNA,linear,"Duck hepatitis A virus 3 strain JS, complete genome",ssRNA(+),7784,no,
MN171528.1,Senecavirus A,RNA,linear,"Senecavirus A isolate SVA/ICR-F10, complete genome",ssRNA(+),7286,no,
MN175321.1,Goose astrovirus,RNA,linear,"Goose astrovirus strain AstV/Goose/2018/HLJ01, complete genome",ssRNA(+),7116,no,
MN175323.1,Bell pepper alphaendornavirus,RNA,linear,"Bell pepper alphaendornavirus isolate MS1, complete genome",ssRNA(+),14716,no,
MN872302.2,Cotton leafroll dwarf virus,RNA,linear,"Cotton leafroll dwarf virus isolate Texas CS4, complete genome",ssRNA(+),5865,no,
